sensor1.id,sensor1.carId,sensor1.carLocation,sensor1.timeValue,sensor1.pm25,sensor1.pm10,sensor1.tags,sensor1.classification
618,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:28:29,10.3,13.5,"Não existência de fumo, vidros fechados, AC ligado",0
617,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:28:18,10.2,12.9,"Não existência de fumo, vidros fechados, AC ligado",0
616,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:28:06,10.4,13.6,"Não existência de fumo, vidros fechados, AC ligado",0
615,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:55,10.8,14.6,"Não existência de fumo, vidros fechados, AC ligado",0
614,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:44,10.6,14.8,"Não existência de fumo, vidros fechados, AC ligado",0
613,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:33,10.5,14.8,"Não existência de fumo, vidros fechados, AC ligado",0
612,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:22,9.6,13.7,"Não existência de fumo, vidros fechados, AC ligado",0
611,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:10,9.9,13.8,"Não existência de fumo, vidros fechados, AC ligado",0
610,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:00,9.7,13.7,"Não existência de fumo, vidros fechados, AC ligado",0
609,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:48,9.7,13.4,"Não existência de fumo, vidros fechados, AC ligado",0
608,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:37,9.7,12.7,"Não existência de fumo, vidros fechados, AC ligado",0
607,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:26,10.0,14.1,"Não existência de fumo, vidros fechados, AC ligado",0
606,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:15,10.1,14.8,"Não existência de fumo, vidros fechados, AC ligado",0
605,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:04,10.0,15.0,"Não existência de fumo, vidros fechados, AC ligado",0
604,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:53,9.6,13.4,"Não existência de fumo, vidros fechados, AC ligado",0
603,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:42,9.5,12.7,"Não existência de fumo, vidros fechados, AC ligado",0
602,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:30,9.2,13.2,"Não existência de fumo, vidros fechados, AC ligado",0
601,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:20,9.2,14.2,"Não existência de fumo, vidros fechados, AC ligado",0
600,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:03,8.7,13.4,"Não existência de fumo, vidros fechados, AC ligado",0
599,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:51,8.5,12.3,"Não existência de fumo, vidros fechados, AC ligado",0
598,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:40,8.4,11.9,"Não existência de fumo, vidros fechados, AC ligado",0
597,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:29,8.3,12.5,"Não existência de fumo, vidros fechados, AC ligado",0
596,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:18,7.8,12.3,"Não existência de fumo, vidros fechados, AC ligado",0
595,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:02,7.2,12.0,"Não existência de fumo, vidros fechados, AC ligado",0
594,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:51,7.0,11.8,"Não existência de fumo, vidros fechados, AC ligado",0
593,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:40,6.1,11.6,"Não existência de fumo, vidros fechados, AC ligado",0
592,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:29,5.9,11.5,"Não existência de fumo, vidros fechados, AC ligado",0
591,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:18,5.8,11.2,"Não existência de fumo, vidros fechados, AC ligado",0
590,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:08,6.0,11.5,"Não existência de fumo, vidros fechados, AC ligado",0
589,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:22:57,6.1,10.7,"Não existência de fumo, vidros fechados, AC ligado",0
588,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:22:46,8.0,12.7,"Não existência de fumo, vidros fechados, AC ligado",0
571,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:14:08,3.8,8.6,"Não existência de fumo, vidros fechados, AC desligado",0
570,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:13:57,3.5,6.9,"Não existência de fumo, vidros fechados, AC desligado",0
569,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:13:46,3.2,7.0,"Não existência de fumo, vidros fechados, AC desligado",0
568,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:13:35,3.3,7.1,"Não existência de fumo, vidros fechados, AC desligado",0
567,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:13:25,3.4,9.0,"Não existência de fumo, vidros fechados, AC desligado",0
566,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:13:14,3.6,9.8,"Não existência de fumo, vidros fechados, AC desligado",0
565,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:13:03,3.8,9.6,"Não existência de fumo, vidros fechados, AC desligado",0
564,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:12:52,3.8,8.0,"Não existência de fumo, vidros fechados, AC desligado",0
563,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:12:41,3.8,8.3,"Não existência de fumo, vidros fechados, AC desligado",0
562,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:12:30,3.8,9.0,"Não existência de fumo, vidros fechados, AC desligado",0
561,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:12:18,3.9,9.1,"Não existência de fumo, vidros fechados, AC desligado",0
560,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:12:07,3.6,7.9,"Não existência de fumo, vidros fechados, AC desligado",0
559,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:11:56,3.5,8.0,"Não existência de fumo, vidros fechados, AC desligado",0
558,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:11:45,3.7,7.9,"Não existência de fumo, vidros fechados, AC desligado",0
557,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:11:35,3.8,8.0,"Não existência de fumo, vidros fechados, AC desligado",0
556,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:11:23,3.7,8.8,"Não existência de fumo, vidros fechados, AC desligado",0
555,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:11:12,3.5,9.1,"Não existência de fumo, vidros fechados, AC desligado",0
554,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:11:01,3.6,9.2,"Não existência de fumo, vidros fechados, AC desligado",0
553,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:10:50,4.0,9.0,"Não existência de fumo, vidros fechados, AC desligado",0
