,sensors.pm25,sensors.pm10,sensors.temperature,sensors.gas,sensors.humidity,sensors.pressure,sensors.classification
598,5.0,9.6,22.4962109375,60628,44.68567722600402,994.6416291780553,0
599,5.0,9.6,22.4048046875,60545,44.78999556117543,994.6321068551475,0
600,5.0,9.6,22.306953125,60216,45.39031720421112,994.6536258054518,0
601,5.0,9.6,22.2071484375,59647,45.91935440340029,994.6442681933897,0
602,5.0,9.6,22.108515625,59287,46.28535518957654,994.6108333092686,0
603,5.0,9.6,22.0063671875,59168,46.58445215789861,994.5734032145903,0
604,5.0,9.6,21.9034375,58736,47.20221843651631,994.5657843902986,0
605,5.0,9.6,21.7977734375,57852,47.91394439090158,994.5243169540552,0
606,8.0,14.7,21.69953125,57514,48.542857781320144,994.4637322980956,0
607,8.0,14.7,21.6083203125,57068,49.06328264050322,994.37477657758,0
608,8.0,14.7,21.52140625,56921,49.3003433952621,994.3204045859168,0
609,8.0,14.7,21.4442578125,56413,50.16048397841825,994.2576498756515,0
610,8.0,14.7,21.374140625,55843,50.613054211412134,994.1717330825977,0
611,8.0,14.7,21.3180859375,55667,50.94961681139065,994.05678434525,0
612,8.0,14.7,21.2841015625,55458,50.73286404196604,993.8929743726223,0
613,8.0,14.7,21.26515625,55493,50.6805294504881,993.6205784407987,0
614,8.0,14.7,21.2534375,55737,50.5916734527856,993.5947028549035,0
615,8.0,14.7,21.23703125,55878,51.114546152021944,993.5957699221264,0
616,8.0,14.7,21.21984375,55702,51.250103817873935,993.5921181885273,0
617,9.2,15.0,21.1966015625,55737,51.32859332130168,993.5855696198836,0
618,9.2,15.0,21.1727734375,55702,51.34437120742749,993.584975910388,0
619,9.2,15.0,21.153828125,55737,51.09778375936357,993.578474315341,0
620,9.2,15.0,21.138984375,55878,50.88955268234827,993.5717066074243,0
621,9.2,15.0,21.12375,55843,51.25047264649118,993.5746630053377,0
622,9.2,15.0,21.107734375,55493,51.4740146312639,993.5849841800767,0
623,9.2,15.0,21.087421875,55562,51.64079052604357,993.5848948417557,0
624,9.2,15.0,21.066328125,55562,51.50011177069466,993.5904429737024,0
625,9.2,15.0,21.0434765625,55737,51.33426758303397,993.5983206476916,0
626,9.2,15.0,21.02296875,55773,51.35046661701144,993.6082644691608,0
627,9.2,15.0,21.0034375,55423,51.68031804384199,993.6163353415742,0
628,8.6,12.0,20.9848828125,55493,51.82863934407155,993.6311628303986,0
629,8.6,12.0,20.970234375,55984,51.53181722189886,993.6557650419444,0
630,8.6,12.0,20.95734375,56269,50.82924754138626,993.6763088205963,0
631,8.6,12.0,20.949140625,57031,50.1611150079408,993.7130709063396,0
632,8.6,12.0,20.9471875,57253,50.12353814361799,993.75132532745,0
633,8.6,12.0,20.951875,57439,50.07435240316983,993.800334719227,0
634,8.6,12.0,20.9516796875,57105,50.2174468613545,993.860419457276,0
635,8.6,12.0,20.949140625,57068,50.27316507917911,993.9270623409253,0
636,8.6,12.0,20.9430859375,56958,50.19148084070319,994.0069928239038,0
637,8.6,12.0,20.938984375,57179,50.27812876770225,994.1004404634323,0
638,9.0,13.4,20.9368359375,57253,50.20315287945166,994.2056803583567,0
639,9.0,13.4,20.9333203125,57290,50.370853173037474,994.3035272683583,0
640,9.0,13.4,20.9294140625,57142,50.51995282687499,994.3748545629101,0
641,9.0,13.4,20.926875,56921,50.451060420416525,994.4742826181703,0
642,9.0,13.4,20.9227734375,57253,50.02721127385029,994.560823280416,0
643,9.0,13.4,20.919453125,57290,49.96462899009722,994.6589836898463,0
644,9.0,13.4,20.9133984375,57514,49.96387965670597,994.750984678443,0
645,9.0,13.4,20.9087109375,57179,50.149873332280514,994.9090513408676,0
646,9.0,13.4,20.9020703125,57179,50.37319140036879,995.0190812602233,0
647,9.0,13.4,20.8930859375,56630,50.996147392714995,995.1494672309736,0
648,9.0,13.4,20.881171875,56341,51.332540388741535,995.3285924236188,0
649,9.3,13.6,20.8633984375,55984,51.468130375790395,995.4481620788763,0
650,9.3,13.6,20.849921875,55702,51.460157589042254,995.586775565718,0
651,9.3,13.6,20.8378125,57216,51.07673523337681,995.7379552459964,0
652,9.3,13.6,20.8294140625,57327,50.81320922551832,995.8002485144858,0
653,9.3,13.6,20.8204296875,57476,50.53129373361339,995.8374317456768,0
654,9.3,13.6,20.8137890625,57402,50.42450436846529,995.8249277024213,0
655,9.3,13.6,20.808515625,57476,50.037934104849946,995.9043677977904,0
656,9.3,13.6,20.8034375,58080,50.10571286535361,995.9496142949637,0
657,9.3,13.6,20.8003125,57664,50.4290574669096,995.9928543796176,0
658,9.3,13.6,20.79171875,57701,50.60878084138977,996.0617245466216,0
659,10.0,15.5,20.78546875,57777,50.61423798457186,996.1119675416161,0
